Symbol	Open	Low	Volume	Name
NEA	13.79	13.77	304100	Nuveen AMT-Free Quality Municipal Income Fund
NEE	151.5	151.03	1291000	NextEra Energy, Inc.
NEM	37.72	37.55	3923700	Newmont Mining Corporation
NEP	43.09	41	553600	NextEra Energy Partners, LP
DNB	120.38	119.54	217100	Dun & Bradstreet Corporation (The)
NEU	429.3	425.86	17000	NewMarket Corporation
NEV	14.71	14.64	41000	Nuveen Enhanced Municipal Value Fund
DWDP	70.8	70.53	5606700	DowDuPont Inc.
DNI	13.1	13.05	13600	Dividend and Income Fund
DNP	11.45	11.39	202000	Duff & Phelps Utilities Income, Inc.
DNR	1.16	1.09	6693200	Denbury Resources Inc.
CTBB	25.33	25.3	59700	Qwest Corporation
SAH	20.25	20.15	229300	Sonic Automotive, Inc.
SAM	176.15	174.95	381200	Boston Beer Company, Inc. (The)
SAN	6.59	6.55	3392100	Banco Santander, S.A.
SAP	111.12	110.86	328400	SAP SE
SAR	22.33	22.15	24200	Saratoga Investment Corp
A	66.68	65.99	1711800	Agilent Technologies, Inc.
B	72.27	71.69	153400	Barnes Group, Inc.
C	72.24	72	15743700	Citigroup Inc.
D	79.03	78.24	1955400	Dominion Energy, Inc.
E	32.91	32.63	89400	ENI S.p.A.
F	12.13	12.12	55273200	Ford Motor Company
G	29.61	29.5	812600	Genpact Limited
VVC	66.75	66.7	212500	Vectren Corporation
H	61.61	61.16	337000	Hyatt Hotels Corporation
I	6.29	6.15	505400	Intelsat S.A.
K	61.87	61.59	2032200	Kellogg Company
L	49.07	48.515	550000	Loews Corporation
M	19.88	19.68	8497300	Macy's Inc
VVI	61.1	60.45	57500	Viad Corp
NFG	56.44	56.44	391600	National Fuel Gas Company
O	56.81	56.71	1258000	Realty Income Corporation
P	7.9	7.88	3408600	Pandora Media, Inc.
Q	99.26	99.065	1137500	Quintiles IMS Holdings, Inc.
NFJ	13.41	13.36	171700	AllianzGI NFJ Dividend, Interest & Premium Strategy Fund
R	79.45	78.68	806900	Ryder System, Inc.
S	7.14	7.055	10231000	Sprint Corporation
T	36.18	35.99	21663500	AT&T Inc.
V	108.25	107.3	5979400	Visa Inc.
VVR	4.44	4.43	476600	Invesco Senior Income Trust
W	69.55	67.46	1736100	Wayfair Inc.
X	26.68	26.49	7673700	United States Steel Corporation
Y	552.66	551	63600	Alleghany Corporation
DOC	17.97	17.95	636000	Physicians Realty Trust
VVV	24	23.89	402400	Valvoline Inc.
BGIO	10.15	10.11	73900	BlackRock 2022 Global Income Opportunity Trust
NFX	30.11	29.555	2645100	Newfield Exploration Company
SBH	17.67	17.59	1762500	Sally Beauty Holdings, Inc.
DOV	94.62	93.9	791500	Dover Corporation
SBR	40.55	40.32	10900	Sabine Royalty Trust
SBS	10	9.74	2351700	Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp
GSBD	22.54	22.38	118300	Goldman Sachs BDC, Inc.
GDOT	54.13	53.7	192000	Green Dot Corporation
NGG	62	61.79	518500	National Grid Transco, PLC
NGL	11.75	11.3	508600	NGL ENERGY PARTNERS LP
NGS	28.45	28.1	10100	Natural Gas Services Group, Inc.
DPG	16.15	15.99	142400	Duff & Phelps Global Utility Income Fund Inc.
SCA	25.39	25.38	1800	Stellus Capital Investment Corporation
SCD	14.48	14.46	30200	LMP Capital and Income Fund Inc.
DPS	89.44	88.95	679900	Dr Pepper Snapple Group, Inc
SCG	48.78	48.06	1700700	Scana Corporation
CEQP	24.15	23.75	141900	Crestwood Equity Partners LP
SCI	34.26	34.2	758400	Service Corporation International
CTDD	25.53	25.52	78100	Qwest Corporation
TNET	34.18	33.54	175400	TriNet Group, Inc.
SCL	88.34	87.325	53300	Stepan Company
DPZ	193.5	191.83	1316900	Domino's Pizza Inc
SCM	14.15	14	104400	Stellus Capital Investment Corporation
SCS	15.4	15.1	388300	Steelcase Inc.
SCX	8.8	8.5	7700	L.S. Starrett Company (The)
NHA	10.02	10	3400	Nuveen Municipal 2021 Target Term Fund
NHF	23.54	23.54	101000	NexPoint credit Strategies Fund
NHI	77.43	76.955	117100	National Health Investors, Inc.
MITT	19.5	19.5	95700	AG Mortgage Investment Trust, Inc.
SALT	7.7	7.5	530200	Scorpio Bulkers Inc.
TDOC	32.6	32.6	1027000	Teladoc, Inc.
SDR	1.33	1.33	99800	SandRidge Mississippian Trust II
SDT	1.31	1.31	46400	SandRidge Mississippian Trust I
SSTK	33.89	33.72	172900	Shutterstock, Inc.
NID	13.33	13.29	38000	Nuveen Intermediate Duration Municipal Term Fund
NIE	20.64	20.6	79800	AllianzGI Equity & Convertible Income Fund
GIMO	36	35.35	856800	Gigamon Inc.
NIM	10.3	10.22	21800	Nuveen Select Maturities Municipal Fund
NIQ	13.37	13.33	16900	Nuveenn Intermediate Duration Quality Municipal Term Fund
DRD	3.62	3.48	134300	DRDGOLD Limited
DRE	28.91	28.77	1654500	Duke Realty Corporation
DRH	11	10.94	1350600	Diamondrock Hospitality Company
DRI	79.08	78.865	2245500	Darden Restaurants, Inc.
DRQ	43.05	42.1	425000	Dril-Quip, Inc.
SEE	44.49	44.105	2045400	Sealed Air Corporation
SEM	18.35	18.1	1377800	Select Medical Holdings Corporation
SEP	43.72	43.65	307400	Spectra Energy Partners, LP
INB	9.7	9.65	78300	Cohen & Steers Global Income Builder, Inc.
INF	13.2	13.2	202400	Brookfield Global Listed Infrastructure Income Fund
ING	18.36	18.32	2873300	ING Group, N.V.
INN	16.12	15.905	773900	Summit Hotel Properties, Inc.
INT	35.46	35.03	307700	World Fuel Services Corporation
VZA	26.93	26.93	28700	Verizon Communications Inc.
NJR	42.9	42.9	260400	NewJersey Resources Corporation
DSE	6.31	6.18	151500	Duff & Phelps Select Energy MLP Fund Inc.
NJV	14.9	14.87	2700	Nuveen New Jersey Municipal Value Fund
DSL	21.3	21.22	206200	DoubleLine Income Solutions Fund
DSM	8.53	8.53	85500	Dreyfus Strategic Municipal Bond Fund, Inc.
SFE	14.15	14.05	27300	Safeguard Scientifics, Inc.
DST	55.49	54.44	744300	DST Systems, Inc.
DSU	11.8	11.75	55500	Blackrock Debt Strategies Fund, Inc.
DSW	18.81	18.68	1561400	DSW Inc.
DSX	4.06	3.99	619200	Diana Shipping inc.
SFL	14.95	14.85	852400	Ship Finance International Limited
SFR	36.25	36.23	547900	Starwood Waypoint Homes
SFS	6.7	6.55	303000	Smart
TIME	12.75	12.2	960000	Time Inc.
NKE	51.5	51.38	9492600	Nike, Inc.
NKG	13.2	13.16	3300	Nuveen Georgia Quality Municipal Income Fund
DTE	109.63	109.33	1095900	DTE Energy Company
